SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA4655892,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4655892,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4656420,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT
DA4656710,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4656710,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT
DA4656710,OUT OF COMPLIANCE,RH53,"COUNTER, CABINETS, VANITIES, VANITIES SHELVING, ETC. - UNIT"
DA4656710,OUT OF COMPLIANCE,RH07,WALL/FLOOR/CEILING - MOLD - UNIT
DA4656710,OUT OF COMPLIANCE,RH35,TUB/SHOWER STALL/SHOWER FIXTURES - UNIT
DA4656710,OUT OF COMPLIANCE,RH43,RODENTS - UNIT
DA4656827,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4656827,OUT OF COMPLIANCE,RH09,WINDOWS/SCREENS - UNIT
DA4657280,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4657305,OUT OF COMPLIANCE,RH23,HOT WATER/WATER HEATER - UNIT
DA4657420,OUT OF COMPLIANCE,RH31,LIGHTING - UNIT
DA4658072,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4658072,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT
DA4659317,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4659317,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT
DA4660426,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT
DA4660542,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA4660552,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4658660,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4658660,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4659207,OUT OF COMPLIANCE,RH26,SEWER/DRAIN LINES - PREMISES
DA4659504,OUT OF COMPLIANCE,F043,# 43. PREMISES; PERSONAL/CLEANING ITEMS; VERMIN-PROOFING
DA4659627,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4659627,OUT OF COMPLIANCE,RH07,WALL/FLOOR/CEILING - MOLD - UNIT
DA4659627,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4659627,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT
DA4659923,OUT OF COMPLIANCE,RH09,WINDOWS/SCREENS - UNIT
DA4659923,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4659923,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4659942,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES
DA4660276,OUT OF COMPLIANCE,RH44,RODENTS - PREMISES
DA4660276,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
