SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA4593579,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT
DA4590913,OUT OF COMPLIANCE,RH05,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4590913,OUT OF COMPLIANCE,RH23,HOT WATER/WATER HEATER - UNIT
DA4590913,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4590913,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT
DA4590915,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4590915,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT
DA4590915,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4590915,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4592939,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4592939,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4593283,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
DA4593517,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4593755,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4593964,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4593964,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT
DA4593964,OUT OF COMPLIANCE,RH04,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA4593964,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
